wallet_address,risk_score,risk_tier,is_taint_seed,entity_group,in_degree,out_degree
bc1p6k8jcn8vn4lf85y5gykhhk2rxvqcweqjsrlfel43zc6qemp74yefye8qn2,0.9825,CRITICAL,1,ENTITY_01491,5,1
bc1p3y88rdxkg8tpkhwv2eyr7yexx5m3kvswn6mr2278hxmt0apm4pxntpf054,0.9825,CRITICAL,1,ENTITY_00362,5,1
3ckxb3CPkKdx1hPJJVdxVWEaho2tjm,0.9825,CRITICAL,1,ENTITY_01482,5,1
3Gu6mmC6G6MbeLpaYUJmJPmRxKUyWa6K,0.9825,CRITICAL,1,ENTITY_00248,5,1
bc1pltumvk6n002jqgauq2eaur9ay7sr50zer63pycltfrlm7pa7gfcg9rq2e7,0.9825,CRITICAL,1,ENTITY_00443,5,1
bc1paq8xx8sk6upedvl4nelynly99zpwfpl6dgqezpm87hfvehkq57hrk6qvnm,0.9825,CRITICAL,1,ENTITY_00210,5,1
35ThHhUsKy7pL1nbaB2YfKKihUc9iGAG,0.9825,CRITICAL,1,ENTITY_00090,5,1
bc1qmjfug0t8r7zgm3ha2ur5gwctc2j36qky8mgtp9,0.9825,CRITICAL,1,ENTITY_00086,5,1
bc1q835q87lgdeva56hfs9sxmt0aruld595dqtcz97,0.9825,CRITICAL,1,ENTITY_00280,5,1
3knJy2Qf7Hp1t9coCAn92SJ4VSMbqZ17F,0.9825,CRITICAL,1,ENTITY_00586,5,1
bc1pzzqsqrszex4gdhsclc90pgxn40g6gwceae0r7agwrxmu5csh8n26lggdty,0.9825,CRITICAL,1,ENTITY_00047,5,1
bc1q873gtq4s2h0zxn4r26hyxjxlr67j9esdu7pvpy,0.9825,CRITICAL,1,ENTITY_00596,5,1
3t1LYvUQprzBPGpBzqA7RqRfsmug7o,0.9825,CRITICAL,1,ENTITY_00542,5,1
bc1qvr7gkd0n522japavtcetaqclgn50frcdapw8df,0.9825,CRITICAL,1,ENTITY_00755,5,1
3yMB8ifjrMFYopA2VqNz4idbnkJP1,0.9825,CRITICAL,1,ENTITY_00809,5,1
bc1q69d8avtx5vfhvy4cde4rrsqyew7jfkwx77ukq2,0.9825,CRITICAL,1,ENTITY_00869,5,1
bc1qg9kp24y9rmn8rhvc6t246e7yqlr7wzx47jr8ef,0.9825,CRITICAL,1,ENTITY_00891,5,1
bc1q260gqz7u6l3q8cwx93nfekh9vryyelxxleetky,0.9825,CRITICAL,1,ENTITY_00918,5,1
3b9sWKXsm8KirDQV25RiLwv4oxwGzoEdWC,0.9825,CRITICAL,1,ENTITY_00944,5,1
3wAaUudtaW4uooDHtVdirZKfawCiCu,0.9825,CRITICAL,1,ENTITY_01004,5,1
3sYZwFxWzFeUWtnYNLDWVq1gX866rc,0.9825,CRITICAL,1,ENTITY_01006,5,1
bc1qhj98v3qkxyfa08xv6tx5la63cqfszp40knm5aj,0.9825,CRITICAL,1,ENTITY_02097,5,1
bc1pm3z373vrwk56h8a53j7nz2kmu8x783wcf0pgwvgn37su2vudeul7z0pxd9,0.9825,CRITICAL,1,ENTITY_02078,5,1
bc1phyusmkc93pzc8rghn4wmeszuvwtczms3ldnzm9sl6hr760mvd46sgs3l3m,0.9825,CRITICAL,1,ENTITY_02051,5,1
3o1wLqxqi4e72SZt55cANFB14YWk3,0.9825,CRITICAL,1,ENTITY_02043,5,1
bc1qpe69rwu0pg4yrl5euadg7evgzamx5hr6c0f65k,0.9825,CRITICAL,1,ENTITY_02005,5,1
3ZdzoaJbXU5Vaifk7hAuxFsSEuhJQP,0.9825,CRITICAL,1,ENTITY_01204,5,1
bc1ql03xvr76n0uqpurwzrqg70syv4fp6ly2vac8z0cjkjyn45y9h7ftv047a9,0.9786,CRITICAL,1,ENTITY_03813,6,1
bc1qcrwpme6traujt7mgvr2sy6xvzfl245pamt8656,0.9692,CRITICAL,1,ENTITY_05113,6,1
bc1pmaq4ef3rg578txxsghs87amnw7868t4dee9zt0ddjvqwz9234msfjuq5tk,0.9602,CRITICAL,1,ENTITY_01810,5,1
bc1pk2vgukylmhayy370k8xtqj62pd7nzspw2yc50vqrjyhfwa8w6r6rlrd9r0,0.9602,CRITICAL,1,ENTITY_01780,5,1
3DWSNHeH6cyBVeAbrS9ZkuEEE7aM,0.9602,CRITICAL,1,ENTITY_01800,5,1
bc1p9na87huya6xqm66nx3ph836gp9ye6ffeldvn2573hvyqp4ltxwwcn643mc,0.9602,CRITICAL,1,ENTITY_01162,5,1
bc1q76kr547hpk6xe65p8z4mqf9zpazn3z4r0pgdcx,0.9602,CRITICAL,1,ENTITY_00840,5,1
bc1q80uqggv2v9quuew6gykwc3k27fj3rzzd4f3avs,0.9602,CRITICAL,1,ENTITY_00955,5,1
31gypJeeK9mbGhW2TZSWqcvgc3t54m,0.9602,CRITICAL,1,ENTITY_00503,5,1
3oJNjy6f68ew18UpUYJFLzYeAUkHmt,0.9602,CRITICAL,1,ENTITY_01696,5,1
bc1pjfqx5mm4fsxuvvfh2nryxew45njwj6wmzuqtlravepvw4rdxfelp68398h,0.9602,CRITICAL,1,ENTITY_02101,5,1
bc1pj2vclessktvfvfpy9qfpfyw0x42t7306f3flgraagf8v22pzp837gpyhjt,0.9602,CRITICAL,1,ENTITY_01653,5,1
bc1qsvnrwnqp8pyex6gsmjw6sxtnd0ghdaprg39qvh,0.9602,CRITICAL,1,ENTITY_01617,5,1
bc1q23g2vsnfwz0ntemkp73jpxpd2cj62x5kwll7tj,0.9602,CRITICAL,1,ENTITY_00379,5,1
3o8MMGo5kY4gtRfG4UkNnm1cQxRpgdNt,0.9602,CRITICAL,1,ENTITY_00950,5,1
bc1pfygetl5sxqhu89852aa5epxdy7qprsnsh37ppa8g0kg4zgrslu3p53aprj,0.9602,CRITICAL,1,ENTITY_00395,5,1
3jaTSQeExM1MP68viG3Vwvv6FmvLMur,0.9334,CRITICAL,1,ENTITY_01860,5,1
bc1qpa5djggu876kctc7h56tnvrghnfqfsqlgl7v2j,0.9334,CRITICAL,1,ENTITY_01853,5,1
3E2sQDVcWV5aVf4Z4xckFYhon3465R,0.9334,CRITICAL,1,ENTITY_00791,5,1
bc1p2sv5kf0d2xqvy5lp6zszygp5p36atar4mqncdhhmdlhahx68t645nwd829,0.9334,CRITICAL,1,ENTITY_00365,5,1
3wqBVFYqTQEUYMDoBzNXRz8gGGw4,0.9334,CRITICAL,1,ENTITY_00724,5,1
bc1qulytjxt0h58zxl0xz7u0mk4ujkxtycq8huctcu,0.9334,CRITICAL,1,ENTITY_01752,5,1
bc1qysu6pxwwf4gneqdanlnvk8sx5hfj8g90qu4tlq,0.9334,CRITICAL,1,ENTITY_00211,5,1
bc1q2ahlkssufzxmg2cql9ten7wt0gtml98c5g280e,0.9334,CRITICAL,1,ENTITY_02064,5,1
3qKde37NFSnhhisSEhnk7jSWPFpGxM2P,0.9334,CRITICAL,1,ENTITY_00888,5,1
bc1p5y8xpsav7et34w5cwvjwsv68f4t42fvtfcth2a48887ry5q8s7744vqhwu,0.9334,CRITICAL,1,ENTITY_00927,5,1
bc1q4a6gyd506wpdcs96z65vy6mtexk0r6n8532qt2,0.9334,CRITICAL,1,ENTITY_00819,5,1
3e83rX3xjQZ8xNXVhxQtpoGT2YEg4oKw,0.9334,CRITICAL,1,ENTITY_00884,5,1
35iRWhUoNo8eYfQmjcuFvTSYCR8xk,0.9334,CRITICAL,1,ENTITY_00948,5,1
bc1q8tmtj0nxejxqsq4662eym8xhvh4ef8qrgxgl6w,0.9334,CRITICAL,1,ENTITY_00842,5,1
bc1pm2uwh8cznzv8vtm3s5nj64fkafv637gkyqg0p8j9s279syyqh74fmq9var,0.9334,CRITICAL,1,ENTITY_01468,5,1
3dzjB8upETrGrr19uDCWdZQeokk,0.9334,CRITICAL,1,ENTITY_00396,5,1
bc1pyd7sx60r73nc365d6dasv6zdf23ev3r9yr2n4h5l834f2rjjav0zqevev8,0.9334,CRITICAL,1,ENTITY_00107,5,1
bc1pxcxz3zx2yj8aj5tul40jyfzfzlcjqg36sf4jnt8nv33u5088ta8lnlxm66,0.9334,CRITICAL,1,ENTITY_01938,5,1
bc1qaq3g24nuqtq9j7h3xhxx9xvtapmwz8wwa5szx3,0.9334,CRITICAL,1,ENTITY_00133,5,1
bc1px58le5lt55szxmjylgt78ld8pmyp7mleghumzl25ymlwq88epnt0rhzmwn,0.9334,CRITICAL,1,ENTITY_01939,5,1
bc1pnydnheh7f6xy0nzcprh3r0n3satdr8ktu3a29nfyhag47cyk47sk2tu2ke,0.9322,CRITICAL,1,ENTITY_00716,5,1
bc1q6gwnhh4m922ecuhr4vnxaktf60e8gcez80kmhp,0.9308,CRITICAL,1,ENTITY_02966,6,1
bc1qz0z573d74z7sscgmhkvvlj77gy9umg2aqcsd4q,0.9279,CRITICAL,1,ENTITY_02186,5,1
3MQDc6EzbHvV4c9yffwZfveQ3BjH,0.9218,CRITICAL,1,ENTITY_03829,6,1
bc1qaxhufp7pyr3qvpufw0390408qsxh8u6v3uur8e,0.92,CRITICAL,1,ENTITY_23536,1,0
bc1q5eth2969sf0ye587wdk99kq30qsfsz08p2j2ry,0.92,CRITICAL,1,ENTITY_23537,1,0
bc1ppt02c64qeym656p7cm2j85rqnl8j8fvyp3vxyda9qaw0m78wr5jzh69qfs,0.92,CRITICAL,1,ENTITY_23431,1,0
bc1qwyt3xyk00ar9tqh0mz4x5pgtedrrhgckwvfzh3,0.92,CRITICAL,1,ENTITY_23491,1,0
bc1qdqkl742ghlwzspz0wf7tqh9t2zyncah7zz22cq,0.92,CRITICAL,1,ENTITY_23517,1,0
bc1qcz5q8qzmvhgj0r6mnecu44e8sezj243uc7jfyg,0.92,CRITICAL,1,ENTITY_23518,1,0
bc1qzgvg54edvafguvslrzh6vtvy9vjpd9ztxenptg,0.92,CRITICAL,1,ENTITY_23519,1,0
bc1qsjhgezuaxqshwwylp4amu0gaqz58ajcwyvle8r,0.92,CRITICAL,1,ENTITY_23520,1,0
bc1qc3vn9kk327l5nfjhmem5fe462jqrjpjt50ruuh,0.92,CRITICAL,1,ENTITY_23521,1,0
bc1q0n2xgsjykuy9c9a3uy5uaxhfr5eqr2pvcl4s96,0.92,CRITICAL,1,ENTITY_23522,1,0
bc1q0cq86ec7kpkz0vrc5rrh6c2uh33l8w9y5mwnqu,0.92,CRITICAL,1,ENTITY_23523,1,0
bc1qjf8p2nf9ajhjpakr9p5y22x3nlm2xp3z52upn3,0.92,CRITICAL,1,ENTITY_23524,1,0
bc1q33vpcrufx9p66yjyyqns0pxkyvxmfvxvudd8ye,0.92,CRITICAL,1,ENTITY_23525,1,0
1CYGg6edFntSWLk4NdsCYCS3VR1w9EFQBE,0.92,CRITICAL,1,ENTITY_02156,0,1
3nAa31ua8CdB5Y2YUS9z7LbLsbsMwQXDV,0.92,CRITICAL,1,ENTITY_00014,4,4
3gGBhHoTNHQ2LFGWRyserH9UE4VQ6,0.92,CRITICAL,1,ENTITY_00014,2,6
31DHSWcYGuKCPXZccPstRBVKdCAV8zb,0.92,CRITICAL,1,ENTITY_00014,5,2
3mdD8fokgooohmDW9R3uQH4wa49q,0.92,CRITICAL,1,ENTITY_00014,5,3
1wCJYVKnNTJv5fdtnxy1FBReQMKU,0.92,CRITICAL,1,ENTITY_02169,0,4
bc1pw3l6e6dx8ge6snshjzc06he950kgh35ykdaqe5qjcafrtfr74fs4dlexsv,0.92,CRITICAL,1,ENTITY_23416,1,0
bc1pp8jek5rvncd2znqvhm44f020nkjp8rh6fm0h95xhvqj9f3h3xggwf29ty7,0.92,CRITICAL,1,ENTITY_23417,1,0
bc1puucjmxcag5htklwqdkwmwlyann8d6x4a36g4envmc07l32vfq648wrrcea,0.92,CRITICAL,1,ENTITY_23418,1,0
bc1plqkuhg0xd46tck9evcg3973glyhdxu8hlpjem028ul45avvm7k957fg39a,0.92,CRITICAL,1,ENTITY_23419,1,0
bc1pm35tev06jht49yfyqghcvn0ulrmy7lw9pl5d93qmxwym32npesvxu5lxtt,0.92,CRITICAL,1,ENTITY_23420,1,0
bc1plk5f8d4cx5mvz4xrq8jmsh8cz64lgfltpgr20fex76hcfcrghy70nvyfyc,0.92,CRITICAL,1,ENTITY_23421,1,0
bc1p3ymd3pwer0mv3ypwgx09apmeguxfc62tdjxus8gnwuzhr8tgtv96tacmwk,0.92,CRITICAL,1,ENTITY_23422,1,0
bc1pjehppe77zvc6k03ejee7ph76lwhtl9gpc70wqsfncenad6amsmu7qd5lhu,0.92,CRITICAL,1,ENTITY_23423,1,0
bc1pq6kc3gatnsm9y2d7cfzg4hnct593z03ye9t8jnmpht4yfq92x7zzwncj26,0.92,CRITICAL,1,ENTITY_23424,1,0
bc1p0r20mj5zv43zeanrk72fyan5227dl8jy2cy5kel86dsccd9j6w8ggc8nrc,0.92,CRITICAL,1,ENTITY_23425,1,0
bc1pcvsl54lvfp9xpuyjp0cg3g5h7fpy25y56e2q8rxacuqwznzz3zu3fthe6v,0.92,CRITICAL,1,ENTITY_23426,1,0
bc1p54r22g3e8hdq8uzk8t8g0v7zn4yggjlnd9fz2txz0r8ekk0yjpryg4rx5s,0.92,CRITICAL,1,ENTITY_23427,1,0
bc1pswke6azpcsp50lvqfgc6jypntlupm6flzrrz4wgpxlw3xrku7sdt0vu7e6,0.92,CRITICAL,1,ENTITY_23428,1,0
bc1p7xa7f33ava9wrhrgggus7303m39ygpwg9ssddppdm95jak7w4s7lyjd52x,0.92,CRITICAL,1,ENTITY_23429,1,0
bc1pq4392kmjgct22l4zrldfclqptwnq2dpzg66mz66m9f40mnqvet8pv4kn2s,0.92,CRITICAL,1,ENTITY_23430,1,0
1vecJLxoGkGTYVHVsxte7DJrZtxiJxBR6v,0.92,CRITICAL,1,ENTITY_00024,1,13
1UTUarotSCJM5DXtMinzcm3BnyP3ry,0.92,CRITICAL,1,ENTITY_00024,2,6
1e3babVJ13uDP9gizKdgaWLJ3zpak5R,0.92,CRITICAL,1,ENTITY_02179,3,3
1oDtjevmASzkhbjAmTWXJcEwAYc5x,0.92,CRITICAL,1,ENTITY_00024,5,6
1V7XWTJPwzzePRtForAPp1xknAKwfEbF,0.92,CRITICAL,1,ENTITY_00024,1,9
bc1qhdu27ypggtwlg2tzrxjyfmzc0sskkx58j2nlel,0.92,CRITICAL,1,ENTITY_23404,1,0
bc1qn7cf8wfgncynynypnmwq55nr3s2wzw0c8h4vlv,0.92,CRITICAL,1,ENTITY_23405,1,0
bc1q8rsqjly9gwqtjuzfrfa6mrchk0xjfvcyx4nst0,0.92,CRITICAL,1,ENTITY_23406,1,0
bc1q7gxk4dlaf060hel5qkd4mckyqj6mr5hrghj79t,0.92,CRITICAL,1,ENTITY_23407,1,0
bc1qat8aysc33z07xg8h23cs0r0ttwlz6w7wfafw9a,0.92,CRITICAL,1,ENTITY_23408,1,0
bc1qerst4em6me8pgf80ukh3xexfxpp48sy6f8ptww,0.92,CRITICAL,1,ENTITY_23409,1,0
bc1qj5h06zv7u8yv06v9ngwp3mnq23v42vf426wepp,0.92,CRITICAL,1,ENTITY_23410,1,0
bc1qaw7mg35qyl9hruppatx302q2afw2rllsel63j8,0.92,CRITICAL,1,ENTITY_23411,1,0
bc1qrwexzvzw3gnjhz8mmk7v9r4pn0yevhakt24et8,0.92,CRITICAL,1,ENTITY_23412,1,0
bc1qmx6y282s0sfru526t2yve8hatggauq7xc7e8yz,0.92,CRITICAL,1,ENTITY_23413,1,0
bc1q9kl2wkn89d7j96gah9lvvlqaafcl245ljjm2j7,0.92,CRITICAL,1,ENTITY_02167,0,1
bc1psq52ncy0mnneud2qa0ftvur8uukh23pjut8npwfqaj2wdpmv7vs9hjvduz,0.92,CRITICAL,1,ENTITY_00025,2,3
bc1qxc6e3ex205hcamry8hrvujycdtu06gshgnwpyv,0.92,CRITICAL,1,ENTITY_02187,6,2
bc1q6kf454vgz740n0j97dsmpkur2jp8356r7ddv0e,0.92,CRITICAL,1,ENTITY_02188,4,4
bc1qg402msrz42sdtm6296smpl8lh4sx9gn68p5wtf,0.92,CRITICAL,1,ENTITY_02189,2,6
bc1qt8qc2q2pjkv464kmjjqhjag49h7c5c0cd5093k,0.92,CRITICAL,1,ENTITY_02190,3,5
1mmK53qvmFb1HNznUiYHSY7Xg5aq,0.92,CRITICAL,1,ENTITY_02170,2,3
19tDGvkfLRBEfRCNdwcd4aKp5YmvQ,0.92,CRITICAL,1,ENTITY_02171,3,2
181RhZGGSbBueaGDCYZvYTor1zAZLPyA,0.92,CRITICAL,1,ENTITY_02172,4,1
1AyQq33Di9RjsJE1kKSDZFANjhZo8,0.92,CRITICAL,1,ENTITY_02173,1,1
14re5AbeugQuSvH68YevwBkVY2gpjPPc,0.92,CRITICAL,1,ENTITY_02174,1,1
19aWxtEW8WVbfhpQK81QwJWhfVQLnYr,0.92,CRITICAL,1,ENTITY_02175,4,2
1rwNvwgvMKibvm37CMitWkW6kZT5UsN,0.92,CRITICAL,1,ENTITY_02176,1,5
1f7KGbrx8F94ceTrPL8as7GtUiPdQZF8Vi,0.92,CRITICAL,1,ENTITY_02177,2,4
16JSnNxLX3V4TnpRSCVJxJ9qixeDtJGHh,0.92,CRITICAL,1,ENTITY_02178,5,1
12FvFzgB431P22F62ECErKHyxH4Y1FbkU,0.92,CRITICAL,1,ENTITY_00024,4,6
bc1p7m4x60klcw5a2sac7m9r34flkn7lwd4gu03gwratd80c56xdj4hmxlm3t7,0.92,CRITICAL,1,ENTITY_23383,1,0
bc1p80fj4lk70h6p6k9sprwnwc6eu4mhy20q6haslhsrqg7uvpujyneyrtnmsc,0.92,CRITICAL,1,ENTITY_23384,1,0
bc1pynt2mvxmjc9lq3klrgks5w6ghyhwdplvdp7rds86ze0fyglxs2hsaualp2,0.92,CRITICAL,1,ENTITY_23385,1,0
bc1ptgqaamv37ppfqz23yuujdpgua8a3dya8ak8fpwgm2nc9zm2304vx0z95f6,0.92,CRITICAL,1,ENTITY_23386,1,0
bc1py8clacz7fpm2gtkqke508hqtrpldqmv4k7lmkj29hwcffyzpj3lxqs8xsn,0.92,CRITICAL,1,ENTITY_23387,1,0
bc1pesn6uf4gzt2fg55qa8lqgkkphle8kfnr5padknjwql20runjldra8tcpmh,0.92,CRITICAL,1,ENTITY_23388,1,0
bc1pnvtaxx2nftg46hwzv42jvmfxspt7gp75yn5nfehyeqp0rjsy82ke2el83w,0.92,CRITICAL,1,ENTITY_23389,1,0
bc1pv2y0qwev3gn9khkgdz05l3dqea64j7evmml8s6pqmjflyvsshrts8prxht,0.92,CRITICAL,1,ENTITY_23390,1,0
bc1pmajss7ax63xpa7vman5k0xn69qvjd2d6tzvrzzgqxgerpwqyq4kyhutjkt,0.92,CRITICAL,1,ENTITY_23391,1,0
bc1p7yw03upf42d4hspzakgwpvxaj795utv4l5yxevnztuaea996zpg05p2ahp,0.92,CRITICAL,1,ENTITY_23392,1,0
bc1qwdwwkfffr03ckjjnk93fmke4ncjvw9zqp67dln,0.92,CRITICAL,1,ENTITY_02191,5,3
bc1qrhnrfy7v8dtvxg7rnwpksrmaf840ssxedsjcx8,0.92,CRITICAL,1,ENTITY_02192,1,6
bc1p0ws776wdr0yjxmxwzpfp3mdrt6cjym2a3jzfz624t6rsu4xla7j8p7qwru,0.92,CRITICAL,1,ENTITY_00025,4,1
bc1pju0f9qvu6260zhu60m4dvqxvx9fkgzltjkcpdpagrs502pw7jwmuwecplc,0.92,CRITICAL,1,ENTITY_00025,0,5
bc1pcj8lknn96f932ej4jsk6uycem7l5veuuhujsakzwl637x2wnpj9x5348sa,0.92,CRITICAL,1,ENTITY_00025,3,2
bc1px32qfaulyxslwrdzwuleq9ymhyjdcycl6ts6kgdqksycl9gdc8qg9gukfp,0.92,CRITICAL,1,ENTITY_00025,1,4
3gp7bSRFEzXVugcu74pzVe3CTB9,0.92,CRITICAL,1,ENTITY_00030,10,5
37G7pUBTgU1uziJVcwWkEiLi64Q,0.92,CRITICAL,1,ENTITY_00030,1,14
3ek5RXqtyf5F1qTtSjEQSFZtBXZ5VVN,0.92,CRITICAL,1,ENTITY_00030,10,3
3h4e3BWAfqNNLkiVEexXXDt7Qikko,0.92,CRITICAL,1,ENTITY_00030,3,14
bc1pkz5lsm6wkagahp75wjelvzhalwagacetkfm82gunyjve53kk4383dw5uwj,0.92,CRITICAL,1,ENTITY_23371,1,0
bc1p8a6w7npu0el4gzz55e0vpqj4j4pr520crh5z29pqh7m6p983n09cjdtnqj,0.92,CRITICAL,1,ENTITY_23372,1,0
bc1pn2gurq3mxg3q79szm7ez3zdqqh675jwj2hw385th7jj944qppdnzkzz8ql,0.92,CRITICAL,1,ENTITY_23373,1,0
bc1pleu4qehtjze23n3rlmcn0mcfzgf8e9jh9684tc6sa863n4672hcx5kz8zy,0.92,CRITICAL,1,ENTITY_23374,1,0
bc1pz0vy7td2k3rgycpmygykjjrns2g46k5qnqkamyzppue0lrt4euqjj00hcn,0.92,CRITICAL,1,ENTITY_23375,1,0
bc1pfq3wlk64428afff5xeruucus5u835gv3yn9kdgysdjt4fpm2y0sfwyzauf,0.92,CRITICAL,1,ENTITY_23376,1,0
bc1pgjctwll630ax7a57gu5zuhmps5xd3lxeh3fgttfjd3uek80rd5sm3q4rca,0.92,CRITICAL,1,ENTITY_23377,1,0
bc1pan6pedfz5ndrmq3hz8gl79hlj8j50gtty78ndsyk3dm42pc56gmkcapaq6,0.92,CRITICAL,1,ENTITY_23378,1,0
bc1p8m4l56cnvu6eslm3tgxgnznw38tjh6k73vyyg7920va3gp78cr8lhvpdp9,0.92,CRITICAL,1,ENTITY_23379,1,0
bc1patzk3f3lskx9vl93ae72retq2uy7zjc9ndec34p7gqyw40e53gswgu3ehy,0.92,CRITICAL,1,ENTITY_23380,1,0
bc1psyaq9ap3s4atxwuku9ef4y996ne9svp7pmnsj4sr0utpxkn9jns2k684r9,0.92,CRITICAL,1,ENTITY_23381,1,0
bc1pywxuz7waka3k7l04h5mhfzvfh59ku6eq2t4jf7cd7mr6thda669nkmf3v0,0.92,CRITICAL,1,ENTITY_23382,1,0
38Qri1S4x5EthJFEfHjfYmho9Gw67,0.92,CRITICAL,1,ENTITY_23326,1,0
3JwyRuVxJKm96zh4Wukvz6YZy1f,0.92,CRITICAL,1,ENTITY_00030,3,7
3zaJGTeEofqJnj7oAWioA4zHJjD,0.92,CRITICAL,1,ENTITY_00030,0,7
3odduQTE5u52DGxePEVidtiyDpu,0.92,CRITICAL,1,ENTITY_00030,6,13
31VGYmfcKqJF513mUM1iUWynHhjfJ2K5p,0.92,CRITICAL,1,ENTITY_02199,1,1
3kUVCxL8dAP4ZcpkdzrhrutkH42N,0.92,CRITICAL,1,ENTITY_02200,1,2
3SdgMTVcnTWbGLRd2p2G5ayR1AKJHS5u,0.92,CRITICAL,1,ENTITY_02201,6,3
3kJouhTkyGgpeswe25C1ky51cJK,0.92,CRITICAL,1,ENTITY_02202,5,4
3U1hwgBc8rqccTeRHurNH6LoBP2BRYa,0.92,CRITICAL,1,ENTITY_02203,2,6
3zKCb1QZniqE3e6HcKd6UzxtVozKcH,0.92,CRITICAL,1,ENTITY_02204,6,2
3HMYnTsATshdvGq4vhszQKx8ixMJ,0.92,CRITICAL,1,ENTITY_02206,4,5
3piwcGFYEmvFY7YDE29C2MfXEcYQa4dagu,0.92,CRITICAL,1,ENTITY_02207,1,6
