txid,timestamp,datetime_utc,src_ip,geo_country,asn,volume_usd,fee_btc,detected_pattern,confidence_score,chain_hops,mix_pool_size,evidence_details
4a53a323668dbf79ee99d6e6a34f9708113b1cbeca0514076690908f2a572d4f,1610505497,2021-01-13 02:38:17,65.21.243.250,DE,AS24940 Hetzner Online GmbH,1213.24,2.608e-05,NONE,0.0,0,0,No overt structural laundering pattern observed.
64c843e9cc2528e446d83fecfae5ec02412fdca41e578b89186d2887a6b7bd91,1610514805,2021-01-13 05:13:25,172.67.199.125,US,"AS13335 Cloudflare, Inc.",4952.35,1.035e-05,NONE,0.0,0,0,No overt structural laundering pattern observed.
0861a89017841ab13ecae43c1dad0675886db89b3928b7aef22eca1d8acb4fe6,1610521232,2021-01-13 07:00:32,34.120.16.245,US,AS15169 Google LLC,2211.76,1.264e-05,NONE,0.0,0,0,No overt structural laundering pattern observed.
e102e8fc7b3eb23c5df4864d41f76bd4bd14d0aded2cc1cf780f425a3bfc3f96,1610521686,2021-01-13 07:08:06,47.74.34.187,SG,AS37963 Alibaba Cloud,17593.7,2.22305,NONE,0.0,0,0,No overt structural laundering pattern observed.
a2bf1e72f38dd60d166735a81d8d6f531d6903fd651cf5bb3caa351be637a896,1610581560,2021-01-13 23:46:00,93.192.97.14,DE,AS3320 Deutsche Telekom AG,5180.26,0.00018841,NONE,0.0,0,0,No overt structural laundering pattern observed.
cc1f93998b46579053b006e80a7e9b3dc15c479784f7470baf1368039890e02f,1610587002,2021-01-14 01:16:42,172.67.133.35,US,"AS13335 Cloudflare, Inc.",944.8,0.00017745,NONE,0.0,0,0,No overt structural laundering pattern observed.
3f5f51b4b4167927b76cd9d0fc8e2feaa4edc7d6ea68bb5799f0ffc3e6932a95,1610589156,2021-01-14 01:52:36,217.23.103.212,NL,AS49981 WorldStream B.V.,1032.07,0.00015316,NONE,0.0,0,0,No overt structural laundering pattern observed.
9963af7656e77308ad8ee61a11da4e0e43badfefb77dad78ebb3229dd303bcf2,1610600299,2021-01-14 04:58:19,52.170.181.201,US,AS8075 Microsoft Corporation,3095.02,7.407e-05,NONE,0.0,0,0,No overt structural laundering pattern observed.
8a44298424237ccbe3da469abd8bee9bad995252db8d92ecc08a373041caa54c,1610655244,2021-01-14 20:14:04,104.24.166.11,US,"AS13335 Cloudflare, Inc.",32543.05,2.705e-05,NONE,0.0,0,0,No overt structural laundering pattern observed.
4421f821a4b796a6c29826647838369ce549d76a71de213f14e743b5d8496d2f,1610662737,2021-01-14 22:18:57,134.209.186.124,US,"AS14061 DigitalOcean, LLC",1423.92,0.00013189,NONE,0.0,0,0,No overt structural laundering pattern observed.
f626c1744567f023ff8e4d50017a1af603d28ada2808061fe830c55d812fe2ed,1610692771,2021-01-15 06:39:31,51.254.1.175,FR,AS16276 OVH SAS,2397.78,0.00014261,NONE,0.0,0,0,No overt structural laundering pattern observed.
c026dd9d6af754991af9ea64c5da40fcbc053d3bc658047b019753d4c8eaec3e,1610783686,2021-01-16 07:54:46,157.34.247.34,IN,AS55836 Reliance Jio Infocomm,7522.59,5.015e-05,NONE,0.0,0,0,No overt structural laundering pattern observed.
23c042dad98319e716067aca54793e05a3c26cf37d84c554a7bbd34cc47a504b,1610792096,2021-01-16 10:14:56,104.24.123.59,US,"AS13335 Cloudflare, Inc.",3675.66,1.396e-05,NONE,0.0,0,0,No overt structural laundering pattern observed.
b7be7c4d08e2ee674711989dfe7bf9d35e8b333a58f5c2382e6246642ed9e12f,1610797808,2021-01-16 11:50:08,34.65.159.25,US,AS15169 Google LLC,7738.35,0.00011247,NONE,0.0,0,0,No overt structural laundering pattern observed.
35b381e811258a4276701db932a3dfa7d9a5c53c59a143a248fe3a68cb52583f,1610825852,2021-01-16 19:37:32,212.48.35.224,RU,AS2500 PJSC Rostelecom,2738.4,9.506e-05,NONE,0.0,0,0,No overt structural laundering pattern observed.
5b871407d0f6d2b0200dc7c6c3f87111f562ead02f492dc07d24be0dd8ff23ab,1610850918,2021-01-17 02:35:18,35.230.119.114,US,AS15169 Google LLC,2449.72,7.016e-05,NONE,0.0,0,0,No overt structural laundering pattern observed.
af76fde74163066475bbaa473270f5b1664bcc6fe3bc1a82b4c046eee31ef661,1610888702,2021-01-17 13:05:02,167.99.88.103,US,"AS14061 DigitalOcean, LLC",1523.59,0.00010513,NONE,0.0,0,0,No overt structural laundering pattern observed.
9ba18b6be98091c6bdd12ba96b874d32e0c6f47f143814bd41eaddef38ae6540,1610889869,2021-01-17 13:24:29,134.209.169.177,US,"AS14061 DigitalOcean, LLC",1632.39,0.00012386,NONE,0.0,0,0,No overt structural laundering pattern observed.
ef3c07986493e27d4854204782e40bd097d6e25e07c92891887f7949051ba991,1610971767,2021-01-18 12:09:27,54.210.51.239,US,"AS16509 Amazon.com, Inc. (AWS)",2160.75,0.00011935,NONE,0.0,0,0,No overt structural laundering pattern observed.
6f340bbb7957c7d11b6630efbccf84f4b8aee663639fc4c2fabf3865205ab7c5,1610985706,2021-01-18 16:01:46,65.21.154.178,DE,AS24940 Hetzner Online GmbH,7832.24,1.465e-05,NONE,0.0,0,0,No overt structural laundering pattern observed.
22554f4c09d24195b21215e61e88859d8d134590f3d36541db3845f7d15c21e1,1611004678,2021-01-18 21:17:58,163.172.104.14,FR,AS12876 SCALEWAY S.A.S.,0.17,1e-08,NONE,0.0,0,0,No overt structural laundering pattern observed.
3b0713d750eaae409a2ffe5f66d4fab94e86e80dfc252197af11eb059234a3f6,1611055134,2021-01-19 11:18:54,3.80.81.46,US,"AS16509 Amazon.com, Inc. (AWS)",5740.67,8.574e-05,NONE,0.0,0,0,No overt structural laundering pattern observed.
7f94a668bf59a2606ca0133f060d001642a8ec73b891fbf1a901949bafcc6524,1611091791,2021-01-19 21:29:51,217.23.115.81,NL,AS49981 WorldStream B.V.,4875.15,6.034e-05,NONE,0.0,0,0,No overt structural laundering pattern observed.
863c5abf223ab7d409a1eea54773a7abd3643dc7897e7b25275d21a7af1b3d84,1611142560,2021-01-20 11:36:00,3.80.239.212,US,"AS16509 Amazon.com, Inc. (AWS)",1007097.75,0.0001008,PEELING_CHAIN,0.99,11,0,"Peeling Chain detected: Hop 1 of 11-hop continuous layering chain. Originated at wallet 1wCJYVKnNTJv..., routing funds through change hops."
38e3c6e55dffe91f7d1a2ebde1c902e487a7c68340df016fde6fa3eeb816d3a8,1611142896,2021-01-20 11:41:36,65.21.213.46,DE,AS24940 Hetzner Online GmbH,1595.02,0.00013455,NONE,0.0,0,0,No overt structural laundering pattern observed.
57c1d80d73c16bd463f64578cc0f8422a1024ea9ee495bb346608fdc0bd1ea43,1611142906,2021-01-20 11:41:46,3.80.239.212,US,"AS16509 Amazon.com, Inc. (AWS)",1002279.88,6.373e-05,PEELING_CHAIN,0.99,11,0,"Peeling Chain detected: Hop 2 of 11-hop continuous layering chain. Originated at wallet 1wCJYVKnNTJv..., routing funds through change hops."
f72de6e2acd65cdabdffb6ec9fbb930a988702cf238216d0a0972643dd4d788b,1611143207,2021-01-20 11:46:47,3.80.239.212,US,"AS16509 Amazon.com, Inc. (AWS)",993504.64,9.265e-05,PEELING_CHAIN,0.99,11,0,"Peeling Chain detected: Hop 3 of 11-hop continuous layering chain. Originated at wallet 1wCJYVKnNTJv..., routing funds through change hops."
eb1f2fe721a5d8000b9a504b1ae079950c51d701fb67035a9aa5610087329b4c,1611143770,2021-01-20 11:56:10,3.80.239.212,US,"AS16509 Amazon.com, Inc. (AWS)",991667.2,0.00011057,PEELING_CHAIN,0.99,11,0,"Peeling Chain detected: Hop 4 of 11-hop continuous layering chain. Originated at wallet 1wCJYVKnNTJv..., routing funds through change hops."
da11aec76ee04f2df252e8a11fe87fc3b857f73a6fbe04858cdf750a71431365,1611146354,2021-01-20 12:39:14,3.80.253.152,US,"AS16509 Amazon.com, Inc. (AWS)",981627.36,0.00014784,PEELING_CHAIN,0.99,11,0,"Peeling Chain detected: Hop 5 of 11-hop continuous layering chain. Originated at wallet 1wCJYVKnNTJv..., routing funds through change hops."
aa19ac878146cc55b63e622bc97680bec59c11568d86cd2a321224f1ddf7d25a,1611147740,2021-01-20 13:02:20,88.198.129.75,DE,AS24940 Hetzner Online GmbH,971906.81,3.937e-05,PEELING_CHAIN,0.99,11,0,"Peeling Chain detected: Hop 6 of 11-hop continuous layering chain. Originated at wallet 1wCJYVKnNTJv..., routing funds through change hops."
fc7efad7a9f8d6f2efbcab31cce07ebb39b65acafd6faa314f70a18d53be4c14,1611148297,2021-01-20 13:11:37,51.254.229.132,FR,AS16276 OVH SAS,967394.42,0.00011364,PEELING_CHAIN,0.99,11,0,"Peeling Chain detected: Hop 7 of 11-hop continuous layering chain. Originated at wallet 1wCJYVKnNTJv..., routing funds through change hops."
f9b4e81d2c69d3bec1cd6863dd6e2938914435f513f69c10c32b7e05feea5988,1611150893,2021-01-20 13:54:53,51.254.229.132,FR,AS16276 OVH SAS,955977.06,4.669e-05,PEELING_CHAIN,0.99,11,0,"Peeling Chain detected: Hop 8 of 11-hop continuous layering chain. Originated at wallet 1wCJYVKnNTJv..., routing funds through change hops."
81014cd33fe5bee3d058d2c1290c41957aef01b930d327131f4769a4bc42c67a,1611153130,2021-01-20 14:32:10,51.254.229.132,FR,AS16276 OVH SAS,946950.86,6.037e-05,PEELING_CHAIN,0.99,11,0,"Peeling Chain detected: Hop 9 of 11-hop continuous layering chain. Originated at wallet 1wCJYVKnNTJv..., routing funds through change hops."
94b5d2dee1479dec97c453c68aec3fa6c2ea3710cd6aadc0b79ee0b34915470c,1611154070,2021-01-20 14:47:50,51.254.229.132,FR,AS16276 OVH SAS,942115.77,9.181e-05,PEELING_CHAIN,0.99,11,0,"Peeling Chain detected: Hop 10 of 11-hop continuous layering chain. Originated at wallet 1wCJYVKnNTJv..., routing funds through change hops."
00ce07e11c43e186ebe64b6e7c107267ce36a95436f8865c4359d20cb1c7402f,1611154100,2021-01-20 14:48:20,35.230.93.246,US,AS15169 Google LLC,93411.77,0.00026932,NONE,0.0,0,0,No overt structural laundering pattern observed.
6d6dcab04dc91068282a13686ddcad2785274b832b44a05f76b357df220aab88,1611154767,2021-01-20 14:59:27,51.254.229.132,FR,AS16276 OVH SAS,933825.56,0.00014947,PEELING_CHAIN,0.99,11,0,"Peeling Chain detected: Hop 11 of 11-hop continuous layering chain. Originated at wallet 1wCJYVKnNTJv..., routing funds through change hops."
3ef19d6d19446731f8f3866e3f73bc2a9183d22338dc15d6d1b535179909a5a2,1611155900,2021-01-20 15:18:20,217.80.142.95,US,AS15169 Google LLC,74618.53,0.00017522,NONE,0.0,0,0,No overt structural laundering pattern observed.
fddcbe791d153699f999285f701436b5c6ed29832273a03482507b1abf887ac6,1611157422,2021-01-20 15:43:42,35.230.93.246,US,AS15169 Google LLC,82033.52,0.0001718,NONE,0.0,0,0,No overt structural laundering pattern observed.
7f92e8d49bee76ee11ecba548c6e70810b65e78630125c2bb1059a86b5edf9e1,1611158686,2021-01-20 16:04:46,35.230.93.246,US,AS15169 Google LLC,58429.4,0.00024985,NONE,0.0,0,0,No overt structural laundering pattern observed.
216f3c507b1a01e1cd07e916e1e1e1b4233e2ab577446851d96bb395e0886268,1611159765,2021-01-20 16:22:45,217.80.142.95,US,AS15169 Google LLC,70242.95,0.00025799,NONE,0.0,0,0,No overt structural laundering pattern observed.
dba3126f42ede177f46a169156aca5a6e152d4071b592bf0ffe481d42466b504,1611161100,2021-01-20 16:45:00,35.230.93.246,US,AS15169 Google LLC,135266.84,0.00027395,NONE,0.0,0,0,No overt structural laundering pattern observed.
2a403e34b53e19d4664b1c0964541321844dc8c22014a7a96f1b0618cbd567bf,1611163328,2021-01-20 17:22:08,35.230.93.246,US,AS15169 Google LLC,109724.3,0.00026228,NONE,0.0,0,0,No overt structural laundering pattern observed.
7ef148de839adf1bad4aa300517853e3f8318f11fd35a3f75dfc620cfc79f9ab,1611174484,2021-01-20 20:28:04,35.230.93.246,US,AS15169 Google LLC,104091.56,0.0001636,NONE,0.0,0,0,No overt structural laundering pattern observed.
d5d1f9a938b3a0695bd5254508b2a8ce62222af83b1d2c399f44762e778fa7e5,1611197828,2021-01-21 02:57:08,35.160.153.112,US,"AS16509 Amazon.com, Inc. (AWS)",6522.02,0.00015446,NONE,0.0,0,0,No overt structural laundering pattern observed.
9302d184c2a0c6799dc0ab2054326b8f89e9bde61f8b0aabd516675c7f80ed89,1611263526,2021-01-21 21:12:06,54.210.248.63,US,"AS16509 Amazon.com, Inc. (AWS)",22813.71,0.0017,COINJOIN_MIXING,0.95,1,5,CoinJoin/Mixing detected: 5 inputs mixed into 10 outputs. Anonymity set of 5 participants with equal denomination of 0.1 BTC.
2609fa444fb1c10e69f7a8f2ffcc68fd1038ca708c96259ad662887606af8f71,1611284405,2021-01-22 03:00:05,35.160.176.27,US,"AS16509 Amazon.com, Inc. (AWS)",32179.82,5.404e-05,NONE,0.0,0,0,No overt structural laundering pattern observed.
d0bbc13ca5ea265b99ca88783c613c8e4820ef462c23e4ac9e8ea31a8c6678bd,1611285363,2021-01-22 03:16:03,65.21.94.15,DE,AS24940 Hetzner Online GmbH,1741.64,0.00010413,NONE,0.0,0,0,No overt structural laundering pattern observed.
76c77dd13f06a380b41a353fa479a2de749a186f3497bc74bd180bea3871ef61,1611324796,2021-01-22 14:13:16,159.65.26.101,US,"AS14061 DigitalOcean, LLC",946.85,0.00017392,NONE,0.0,0,0,No overt structural laundering pattern observed.
4debad8432efc1fd5ed51e292348ae6e7f78d298c785dea16a1954e0c961240e,1611342973,2021-01-22 19:16:13,172.67.133.238,US,"AS13335 Cloudflare, Inc.",5244.2,0.00011313,NONE,0.0,0,0,No overt structural laundering pattern observed.
447096f55211e4ee7fbcd804c5f2153561d4e372817b187adb1c85ff505b0575,1611373108,2021-01-23 03:38:28,20.42.177.54,US,AS8075 Microsoft Corporation,3812.06,0.000168,NONE,0.0,0,0,No overt structural laundering pattern observed.
d389dc5f09afca262736ce084f273665aa7267fd9c3b0683321fba84ce6b52dc,1611380196,2021-01-23 05:36:36,52.170.53.150,US,AS8075 Microsoft Corporation,522104.41,7.235e-05,PEELING_CHAIN,0.99,7,0,"Peeling Chain detected: Hop 1 of 7-hop continuous layering chain. Originated at wallet bc1qz0z573d7..., routing funds through change hops."
50c5de86dad5bae879e8cbd8b80392707d7269d6b8607ce9afe217e3a7df72f2,1611382772,2021-01-23 06:19:32,52.170.53.150,US,AS8075 Microsoft Corporation,520053.66,9.099e-05,PEELING_CHAIN,0.99,7,0,"Peeling Chain detected: Hop 2 of 7-hop continuous layering chain. Originated at wallet bc1qz0z573d7..., routing funds through change hops."
94b0123ef433ded7ea86f89a200e1a561fbdfe4cb533812459532336f2d491e8,1611383118,2021-01-23 06:25:18,52.170.53.150,US,AS8075 Microsoft Corporation,516633.62,9.779e-05,PEELING_CHAIN,0.99,7,0,"Peeling Chain detected: Hop 3 of 7-hop continuous layering chain. Originated at wallet bc1qz0z573d7..., routing funds through change hops."
9737b4577d08ccea1dd1057cf60aab45bb6140c373951782e4bb7972e0dd8604,1611385755,2021-01-23 07:09:15,52.170.53.150,US,AS8075 Microsoft Corporation,510330.09,8.1e-05,PEELING_CHAIN,0.99,7,0,"Peeling Chain detected: Hop 4 of 7-hop continuous layering chain. Originated at wallet bc1qz0z573d7..., routing funds through change hops."
8f8657d4f74d70772301b1b4d9e43bdf66b41f0ad05d6b26df7bdce3d18fa780,1611387780,2021-01-23 07:43:00,52.170.53.150,US,AS8075 Microsoft Corporation,508414.32,0.00013273,PEELING_CHAIN,0.99,7,0,"Peeling Chain detected: Hop 5 of 7-hop continuous layering chain. Originated at wallet bc1qz0z573d7..., routing funds through change hops."
0bf4520393ccbedd957dcb18c877abf72068f77faad6dc4828b98d8ec135ccd0,1611388616,2021-01-23 07:56:56,52.170.53.150,US,AS8075 Microsoft Corporation,503191.33,5.083e-05,PEELING_CHAIN,0.99,7,0,"Peeling Chain detected: Hop 6 of 7-hop continuous layering chain. Originated at wallet bc1qz0z573d7..., routing funds through change hops."
bea5ce2a108f68ed8ab5346e86c88a3eaa157f603b0b27719d5b429c2e1b9807,1611388926,2021-01-23 08:02:06,52.170.53.150,US,AS8075 Microsoft Corporation,495091.73,3.287e-05,PEELING_CHAIN,0.99,7,0,"Peeling Chain detected: Hop 7 of 7-hop continuous layering chain. Originated at wallet bc1qz0z573d7..., routing funds through change hops."
53a5e92a651ec4a6ad7a334bc6796fc1ff42a87a27d73fc7e232300889854b6b,1611414237,2021-01-23 15:03:57,52.170.126.136,US,AS8075 Microsoft Corporation,811.66,0.00016099,NONE,0.0,0,0,No overt structural laundering pattern observed.
