txid,timestamp,datetime_utc,src_ip,dst_ip,src_port,dst_port,geo_country,asn,script_type,input_addresses,output_addresses,input_amounts,output_amounts,input_count,output_count,total_input_btc,total_output_btc,fee_btc,btc_price_usd,volume_usd,fee_usd,pattern_label
9fa8dc86820910801d581cbd4a163be106ac37fd9c0190bf971dcdd036cd6be1,1609654575,2021-01-03 06:16:15,65.21.79.187,122.160.242.187,17579,8333,DE,AS24940 Hetzner Online GmbH,P2SH,"[""3YSEjk64yMFmfLiShTgmQyd8is1nZ5""]","[""3Yjj1FzgHaQCQbFCDcAoY1JF3Y7emK"", ""3ZgeGDnKm9nXLRuNsvg3iMLw9c8""]",[0.073975],"[0.04964, 0.024199]",1,2,0.073975,0.073839,0.00013643,29296.21,2163.2,3.9969,NORMAL
e944ba4ee8a365f7ac58736ddccd19563a1fef00724dd7246bbcd43079095768,1609682208,2021-01-03 13:56:48,54.210.127.183,167.99.183.117,45451,8333,US,"AS16509 Amazon.com, Inc. (AWS)",P2WPKH,"[""bc1qte935tgky4w3mgwzuwc36ygyxvnfjpl8xj8ztq""]","[""bc1pevxn0ddtqp8j3ps5pyvlyg47ksj052e2ppmq37hf6s6yhuz9hns03shzek"", ""bc1q2yu8juztjkhaqw3aqtn7pq4ndwkvuuknhuy9kq""]",[0.141652],"[0.073223, 0.068335]",1,2,0.141652,0.141558,9.415e-05,29320.98,4150.62,2.7606,NORMAL
551300c2a1b02b784b4c7a4e2282dab8a11752bc6ac1dadfd61588fb082765b3,1609682568,2021-01-03 14:02:48,51.254.51.83,84.134.94.222,1622,8333,FR,AS16276 OVH SAS,P2PKH,"[""1Gzm6d1k43mTKczEmhE4YuaNPin"", ""1mLGuMkbbtw7ZKHyygDGFs15enu""]","[""bc1qzd66g4advc35g87c4av3jqwd5gfdqqlxfw8dne""]","[0.017484, 0.021493]",[0.03881408],2,1,0.038977,0.03881408,0.00016292,29334.62,1138.6,4.7792,NORMAL
9d4bcf060f06d25dc3b8fa5186ba70f115cc6995cbb9c23108c7512dfb4eeb9c,1609707184,2021-01-03 20:53:04,134.209.128.161,40.114.188.91,52708,8333,US,"AS14061 DigitalOcean, LLC",P2WPKH,"[""bc1q6m9cdwkkka3txh2a8ffftqd3k48vcqjyu072d8"", ""bc1qe3yz9zxwzu7uzgh3csluh53x3u75ltv3wwg9pl"", ""bc1qyt7pcraf4eyayfdl8c9zc29nf33qthcv4df22u"", ""bc1qpvswal64qfft7wmwruqj9gtqtf3hxnwzysjqfg"", ""bc1qethhfxpe8v9yehrduxvndr5sk9wa2vdmcj8zd7"", ""bc1q9s5aur0hljcmdsgdaujaadw37wdhpfu6a9h288"", ""bc1qgwywgkd5m99x7pqqmcpk5ede7ywtvgnwl0y9ql"", ""bc1qcmgqlmag0dwnt05w8cjgkjmp9hzrfstysl4m66"", ""bc1q39e3rhtpdumrvk0xd7ymeu3u8d8y7udwhwtys2"", ""bc1qhl7n3x9cpmfmgxn6894z2eyyzwpy6hk8mh8w74"", ""bc1q0cg7mahud4l9l3chwl9fe05ktjcuunzkddfy6d""]","[""bc1qhczjthxuujz63jvvmrakenkq90f9tft4d0g7ps"", ""bc1q6fvw2qjtxevdtutyzleksn3n6kmz3stn86gr3k"", ""bc1qwe65pqww2wmzwrxzczylg60wjzay8u82ltynh6"", ""bc1q5hx2utgy903xpmfw4qptt5s3ef2ch6ncj57s4y"", ""bc1qhfqqa9gmhw5gpaedawcv0pwaut03f502gy7v39"", ""bc1qzs739pds67u43zp798na5ec0k27rxssgwd0w4v"", ""bc1qy72x9g2fxhtjkt0hdgcu66sujrla64vt50a2za"", ""bc1qex6d3xtt8znlc46d82mav45lscm9auylsw5sd6"", ""bc1q6xh94g2utknptrnnh0j5tv4n54qyaml6tc7ph9"", ""bc1q8n4ner8nafqtc33k7qw7e03alfzmm4qug25yp4"", ""bc1qln78th6lswhlakn2rsdvq36d3dxk5qkx4rm5v8"", ""bc1qfe3cp42q9kgw59cjfl60cmgw8a34qeukpy4589"", ""bc1qap9ma4cusae9u3gnjxkh52y89ech4qglddexl8"", ""bc1qy8hk0jjvwjeldl0vj5z2hetm4gfsagumxxdjmf"", ""bc1q2wvdpqvq4t39k3dkuhr72sj6cqt5u64882fcq0"", ""bc1qqdz4k7n5dct9dy83nsywwv4ssg2wscym3tgqfr"", ""bc1q6r87akmhmd0s4ufz2a09xusw0la8zzx72lra7w"", ""bc1qf7d2quyxjej3duz86e0m8grwu2ydgr5uumz303"", ""bc1qyj5dqq6p28p29ysx7egfugam2578h6n4ygfvt6"", ""bc1q5j0vz4fvv8a2r28l5wx6k4qq3ejdz4suz8tsxu"", ""bc1qhfteazeyhjzc2mtd9hc65r69zz9z0k5905vmx2"", ""bc1q9n9sankjgt032jp703rjjvthq35arlca8el3wm""]","[0.07046, 0.01741, 0.030961, 0.089781, 0.015229, 0.030165, 0.081854, 0.081344, 0.039527, 0.071904, 0.053074]","[0.01, 0.01, 0.020891, 0.061834, 0.043004, 0.01, 0.01, 0.01, 0.01, 0.020095, 0.071784, 0.071274, 0.029457, 0.01, 0.00734, 0.01, 0.01, 0.01, 0.01, 0.079711, 0.06039, 0.005159]",11,22,0.581709,0.580939,0.00077,29359.92,17056.32,22.6071,COINJOIN_MIXING
903003db2ae0b927e17e64764fb55aa6672b0d2acc8032dcc832441a244090b3,1609752955,2021-01-04 09:35:55,88.198.64.67,149.202.95.156,11130,8333,DE,AS24940 Hetzner Online GmbH,P2WPKH,"[""bc1qfhhvl05n28qp54kupmsgvftmxm2huhw5gk9qsd""]","[""1NjgT9gXYuKbTxSJmh2TcJs811pS"", ""bc1qq0z0jkqkcxdw8jlccz7a4y5rpa9ne40npupqna""]",[0.043754],"[0.026534, 0.0172]",1,2,0.043754,0.043734,1.96e-05,29412.74,1286.34,0.5765,NORMAL
356043597244adbf46b870ad1e2283012b94263949f9f1524625a5cfec6c77dc,1609774394,2021-01-04 15:33:14,88.198.47.112,93.190.218.244,44823,8333,DE,AS24940 Hetzner Online GmbH,P2WPKH,"[""bc1qj5tqlfmpx47fw0p8w3pyyhx2ry6nc9vsnalxhr""]","[""bc1qx4nkj7kf4ypyuxpxft5f39w6ryshmta63rzmd3"", ""bc1qq5ph7eyp6kvkqumz0cawpv0d6j2sh2vwhr6zn0""]",[0.131374],"[0.08128, 0.050075]",1,2,0.131374,0.131355,1.851e-05,29450.37,3868.45,0.5451,NORMAL
f41836378b72616132beca87a2380c29aa71bd65ddc09f4358940cb40f7b9363,1609797032,2021-01-04 21:50:32,8.219.191.55,51.15.3.28,13254,8333,SG,AS37963 Alibaba Cloud,P2WPKH,"[""bc1q6t0mkgewpxcyrvzdu32edjqkjlkhy4ew2tyy2q"", ""bc1qy9a7p9tla8a4el4uem8f9uljsnxkchujd74tjy""]","[""3Z1s7CgkQPZJjJMVDMBRH3tV7moL""]","[0.014248, 0.012323]",[0.02638519],2,1,0.026571,0.02638519,0.00018581,29497.54,778.3,5.4809,NORMAL
173e3d062cd2bcb169db1526d7c429a46fa4b5a4c2572cf2f73a0ab47b15033b,1609832624,2021-01-05 07:43:44,182.72.43.178,198.41.88.115,37155,8333,IN,AS9498 BHARTI Airtel Ltd.,P2WPKH,"[""bc1q4vnydhjervra4t226u66kgklud82shr7vdanhc""]","[""bc1qpkwn203ju78slezemwvraqqzjq5knjlre0z4fs"", ""bc1qpuweqa6qutdwnkmy9wu6mmd78gr0ufxlrjqkv0""]",[0.380249],"[0.12524, 0.254835]",1,2,0.380249,0.380075,0.00017353,29552.89,11232.31,5.1283,NORMAL
325e792ab53341de809beba8f62c96b2d263cdcdd1988245401716ec9fca1eba,1609833095,2021-01-05 07:51:35,35.160.220.151,198.41.238.236,64861,8333,US,"AS16509 Amazon.com, Inc. (AWS)",P2WPKH,"[""bc1qgewxflv6uedalwy5rqn9nwdt9slxgcv9g6z79r""]","[""bc1q2p7mwsxepyt83pkx0xf0y53z8qan829x505ykt""]",[0.04844],[0.04840746],1,1,0.04844,0.04840746,3.254e-05,29547.28,1430.31,0.9615,NORMAL
c1e8f7d3794cbd513874fb55e376e8f0c45838058dc329979a6752c023fbbb76,1609835898,2021-01-05 08:38:18,163.172.132.179,172.67.139.186,41217,8333,FR,AS12876 SCALEWAY S.A.S.,P2SH,"[""3qMnoKFxHZsFJqFCsMaFVJqFKSZ"", ""3ftcibgLJeS8kV8TDWCxdxuXrG92vW"", ""3E2udLDj1hFWTN4Ya6pAY5q9zvuZt""]","[""bc1pejq4safeyhazcx2jn97wt036r632ewl6elnvlch9y3mq0dwgde9xdsj0xm"", ""3KJYPytpyW8U7YDJGwXEVDvZwjWfJ3h""]","[0.004863, 0.003951, 0.004848]","[0.008202, 0.00539]",3,2,0.013662,0.013592,6.983e-05,29541.23,401.52,2.0629,NORMAL
ca577763e121355d38c65db8e4a81f22d3a96e702157f2a23637db31d6c89e90,1609879806,2021-01-05 20:50:06,122.160.129.204,136.243.201.194,12729,8333,IN,AS9498 BHARTI Airtel Ltd.,P2WPKH,"[""bc1qywj43azyfafl6elcud7d0l37aa2y9wej6qsmx6""]","[""bc1qwvats7e0hfuq6kmg8fjpa5su8ayf5r7wrj9tx5""]",[0.033952],[0.03380507],1,1,0.033952,0.03380507,0.00014693,29619.04,1001.27,4.3519,NORMAL
fadc893414a9745ced23b14a9a74f53ca7dcc0e18ab1751127757d9224c4e7ab,1609903191,2021-01-06 03:19:51,185.182.12.25,217.182.209.219,17438,8333,NL,AS49981 WorldStream B.V.,P2WPKH,"[""bc1qs5x2pm3dyvqqak4zhvpktd2hjqkuedaw5nyx60""]","[""bc1q8u4cfd52dqqlz3tkks7ed9v3d72gm0e24023ss""]",[0.163979],[0.16377984],1,1,0.163979,0.16377984,0.00019916,29635.31,4853.67,5.9022,NORMAL
1d79e6f2676e86b1133947cba9fef4b43d523b8f0e6fd5796c47daa7a3d1e59b,1609912637,2021-01-06 05:57:17,93.192.228.123,8.219.168.186,20457,8333,DE,AS3320 Deutsche Telekom AG,P2WPKH,"[""bc1qx5q2g2n6x8v9ysq66tdm4a8t44m8t5sspk3pue""]","[""bc1ph4p45k45xdstushfpn6gvskex3jaagsag2mfl2t50zu0psewhnnr9ckg9x""]",[0.137899],[0.13788886],1,1,0.137899,0.13788886,1.014e-05,29646.95,4087.98,0.3006,NORMAL
71e674865477762e30da20e6a6e2f455a3c6743742dc5bb2cf91c33b53891cdd,1609964804,2021-01-06 20:26:44,212.47.152.22,35.230.65.210,19402,18333,FR,AS12876 SCALEWAY S.A.S.,Taproot,"[""bc1p050dkswzd6j8nfd45tmdepl80ad2mqdxlyafyt08qmw7meyat85rp8jfx8"", ""bc1pus0afhfnwkutqdzg5w2rgd5y6qfvx4swrxs6wklyt20kk2vygh6uza2ylq"", ""bc1p4sps8pn3gs6fgvekjy7xgdpcr3qc6krzfcze6vl0exc7an3ffejlr4mgpw""]","[""bc1q6mt360nyjm0nesa0j7jp8ltfas3gnzar5r2tfx"", ""bc1p9vw25zjcnvgpvdxc667gg2jcwv38rufx8w5x53ur4px88t2c6cmx6xxdnt""]","[0.008278, 0.007359, 0.008097]","[0.0125, 0.011113]",3,2,0.023734,0.023613,0.00012073,29727.42,701.95,3.589,NORMAL
066fe3ee6e3c5c2e1ffb065fccbf8104acb8a094fdc53012fd5ec8725c9fb81b,1610009223,2021-01-07 08:47:03,52.170.96.105,3.80.108.67,16719,8333,US,AS8075 Microsoft Corporation,P2WPKH,"[""bc1qv344gg2mnlkxc4lvx4p98gqtewcf58njj4yt2x"", ""bc1q2p9dafjet4krturkpz5hneauhq6fgttcucuqt4"", ""bc1qpc68jt4rl9qx9glkzy39jy88rcf9ytuqymg4vx""]","[""bc1q7s2n04slm4w3c6xx0r5c39x3tgl0wavyjvncgp"", ""bc1qh2fevw56me96l3ptj4asvnv9mxcg8jtpw7hs5p""]","[0.075152, 0.071947, 0.074985]","[0.120589, 0.101473]",3,2,0.222084,0.222062,2.174e-05,29802.23,6617.94,0.6479,NORMAL
2a762e02ed71281582814fe4f55af8b4b3a0565e5ca930795b9961fe65d7b420,1610019427,2021-01-07 11:37:07,35.230.50.39,3.80.208.202,24129,8334,US,AS15169 Google LLC,P2SH,"[""3J85gpgye11t8Cu5CuC8CywmtSr""]","[""bc1qxnauy5ratv8yg0zadwradu7jj28gpunr97m54j"", ""3cc5UK5nYJLb6iV3eXbn4uczWKgtmkv""]",[0.061037],"[0.024638, 0.036202]",1,2,0.061037,0.06084,0.00019721,29803.36,1813.24,5.8775,NORMAL
42474aed8d0bf2c1b9c30237a7bd9d08fac13c804af4d8c8bd5f0b665cce162f,1610019495,2021-01-07 11:38:15,159.65.35.75,178.64.174.176,46898,8332,US,"AS14061 DigitalOcean, LLC",P2WPKH,"[""bc1qaffz9r8fxugfyj4507m68nd7zh2evkyrzsctla""]","[""bc1qg5m5tq2s69l4fzg0l3vt6zqh4h4qx7vdf43evm"", ""bc1qzajazj4p6y76aw5wusnzwsesqwzwu0eqmry36p""]",[0.129959],"[0.075802, 0.054071]",1,2,0.129959,0.129873,8.552e-05,29808.07,3871.26,2.5492,NORMAL
782a08ce1ff401c4a05188e38958ac06cc6d60650688332eb413b023e552525f,1610037887,2021-01-07 16:44:47,52.170.64.140,81.134.175.168,18573,8333,US,AS8075 Microsoft Corporation,P2WSH,"[""bc1qc4kaj3lukwa6hhhh3j2gyenly4uyjgjvhuyymj66v0qmu6f4yxfdlk4cnq""]","[""bc1qqaj4q2mm896ek7lnznsjh35xrn6l946jkfq2u0"", ""bc1q398uvljzcetxdy8l7k04r2atz3xhj60uykd0ldza0qlk3hqgt4wpksar6t""]",[0.905449],"[0.307124, 0.598204]",1,2,0.905449,0.905328,0.00012133,29833.13,27008.77,3.6197,NORMAL
5b8c664c2bd28eeab17c263b007dc0b888405c6c2183bbd35b7c9bfddf02181c,1610085367,2021-01-08 05:56:07,3.80.27.59,54.210.138.64,59552,8333,US,"AS16509 Amazon.com, Inc. (AWS)",P2WPKH,"[""bc1qjy9rma5epr0u87ulhwktwtadfe24w8z4z9hrj9""]","[""bc1qusaelhp4tgkrknspzl450fpmezfx2c0d9k2sja"", ""bc1qug2p3kdw4jzff3dxy6wndplhvwxngqt8myyu4j""]",[0.046808],"[0.014965, 0.031815]",1,2,0.046808,0.04678,2.792e-05,29894.01,1398.44,0.8346,NORMAL
84f0a8eb5ab7b162d5fb083bf7e488f292b647064d0782961b85ece77c536d39,1610111554,2021-01-08 13:12:34,213.120.154.2,122.160.24.235,11941,8333,GB,AS2856 British Telecommunications,P2WPKH,"[""bc1qdq6r8d4kkc3h9ycxc8hzdtxvn3h9zw0j57ykhh""]","[""bc1q8e92pms7hxn8tnvvcupqrjrhfssjhmh3nddh8g"", ""bc1qrtvepzh8nraazw29l45fw0dtmx293pq9rjwq79""]",[0.024144],"[0.00811, 0.015995]",1,2,0.024144,0.024105,3.922e-05,29948.67,721.91,1.1746,NORMAL
72973154a649700dc243497297df799fdd79dfc0b91d7c606256b412d715eb6e,1610126480,2021-01-08 17:21:20,149.202.247.69,34.120.236.238,35508,8333,FR,AS16276 OVH SAS,Taproot,"[""bc1p4hnvsm8mm7g2zdtxkms7xppg8hna5slhvk8ahznlk9xc0hmwd7pkjt55yt""]","[""bc1p70xh8v4s8qy5rntxk9707h3nm0ajhs43kjkd76ghrsrt87wdxp4dnks7ef"", ""bc1p8cuymrncsqp4vvlhsplhfck5x4423rvr4nuhfxe7s7d5r8p0tq84yh2wg8""]",[0.038532],"[0.023345, 0.015056]",1,2,0.038532,0.038401,0.00013146,29962.85,1150.6,3.9389,NORMAL
ada42c38e1ff084810f58c95eac57946cded6b74c1e8c0819af335bee0d63e39,1610137124,2021-01-08 20:18:44,185.182.85.155,54.210.67.58,38605,8333,NL,AS49981 WorldStream B.V.,P2WSH,"[""bc1qvthrtjk5lyxcta3d4xjg6vglrfdxaszgyzcqlcwj3dd36qtcd0he3yetlz"", ""bc1q4fxh93wkx7gvchzsnh2crf04j7f2sz5h0zey8wpq3hg7h2v3rlzh6ww4hk""]","[""bc1qfsdunczzkhldvqagecqjqnsahpxa5q46ek5ze5"", ""bc1qelg2v2jtzs0pre0yxzm7x0c0499nfrfexgfd2683qgj4ngfsf2j0pfwgrq""]","[0.015813, 0.013806]","[0.015819, 0.013693]",2,2,0.029619,0.029512,0.00010673,29963.49,884.28,3.198,NORMAL
7e51940c18bf22f41ed7f9e130f1dc298b389f46ec4a3d3ffba6bd31fcbb11d1,1610191999,2021-01-09 11:33:19,167.99.22.239,104.24.153.107,37753,8333,US,"AS14061 DigitalOcean, LLC",P2WPKH,"[""bc1q90x62629cmh287kuuek2yjzr0wl5m2xjgtvsm8""]","[""1TBUqN4Zo7uygnGkuEop6Uho7Zej7"", ""bc1qmnw62gsmr2smp2tlqrwe3fazvl4t3yx0p56vpl""]",[0.376721],"[0.163498, 0.213161]",1,2,0.376721,0.376659,6.201e-05,30054.77,11320.4,1.8637,NORMAL
08043ec5e0d8c809bb9d520fc03d7da7b3c372182c81302b68a24088444d8cd2,1610280937,2021-01-10 12:15:37,3.80.139.121,54.210.222.162,57200,8333,US,"AS16509 Amazon.com, Inc. (AWS)",Taproot,"[""bc1p0gafd69m0l3rwf0gerz2yhwtx0uteemenes20lf7pfh5udc3h3egres048""]","[""bc1pmxygywt04t4059yfey94alneqtwkkr4ln7zv8tleh7275m00gawgzwljuh"", ""bc1p49qs03xepdr9hvgacswfv0g078jjg08ahes2de2xajlwvqqnhgwgz9eh3k""]",[0.090001],"[0.048496, 0.041309]",1,2,0.090001,0.089805,0.00019629,30179.84,2710.3,5.924,NORMAL
d7c8eae100510ea60e62aa818a61cf04614ca74e6521a95912814893934e46ec,1610295595,2021-01-10 16:19:55,88.198.231.101,217.23.181.84,55665,8333,DE,AS24940 Hetzner Online GmbH,P2SH,"[""3mwBabHvbssWGPtPXZAWf6P6uCvhp6wQ"", ""3sWS9QWXMKZYoeU9P487dEAmaBG5CAqe4x"", ""3BbtfaRgYTmniKHz3rST6AJzfYH7QG"", ""3wcqqWJoJ9dCbojtDZ72tt85Hxo8V"", ""38UVRrzzbDheurzUmvdt4mWaENSM"", ""3oxBWCJ6vsrpo8YNK8fSQiFwF18LAqL2"", ""3cPQDUXcrPjMPMh6xRBuUTCYGkZd"", ""37gZ2RrUfRVESzwjbQ8nfSYkgt1raMkFZ"", ""37cR8ezo2z44jzUoEkQkPkVxYrBh7x"", ""3eUsB9pfgbDEwXjJpjbmXHTfEJdet"", ""34v6FajdvpzsunyV1yUrdoV5vpYT8X""]","[""3A8XgY9HVBRFLxBagfFfcQpXA5L"", ""3FVQp1ZpmXLgg7tVuSgB3qVbphojzmo"", ""3EWGi9qLeEqZ8TyxeqebKEySts46Cv"", ""3PTxU9Nki1VN9zft23QPGibmNBw"", ""3z8Yq4qspgJ6EuisKxaWreRfQdZJNhhiC2"", ""3YygPyEwyCEEGX8eFARqNti9aaQ"", ""3HmeQ92f6AnSgvcy4Buup81riZnPX5ni"", ""3kgUJ2MZxfA7CJMyaaN6KWhMY6iGpG"", ""3sMkP29sjMFXzQ4aGb8rjzmBTWh1Z"", ""3StUJYQ5E84njHyTCM5gkJgpFgdL"", ""3yDzgFPk5tPggUSPF7AtZpdzxhkHj"", ""3PrLaH6PahjdnmYW4v3nUZb7RDS2N"", ""3gWWqYGSSWThkNVzgNxxksLb3idC"", ""3j1v51iLGRxVbmJbgcU1Hu8JZzBvP7"", ""3Wxf86vNEwwni7P9GkUaT7TMqUiU7aeg7N"", ""3fnSbuj4PzUzvKuiYrGhjhUMrRqy"", ""3sDoSVDCiJqVVgv1vJLzJ9omnxDgVfqT"", ""3zQG8U9Bp3KyToh4WS76UQQqPFQyAS"", ""3Sfh79zeQkgCDNaEZQCNL7z7kFc"", ""3syfYsLe63YtQL9myPVstcDeDCXMi"", ""3YW89vhuNzcCyBjnpU5VtbG55JWVwFBL"", ""3rTjiwN9u6UZbunxiBoYDeHFLAf3D7EFs""]","[0.529114, 0.518629, 0.555012, 0.514729, 0.506864, 0.528553, 0.546256, 0.556369, 0.559576, 0.549574, 0.518317]","[0.048034, 0.5, 0.5, 0.5, 0.016777, 0.005324, 0.5, 0.054829, 0.5, 0.5, 0.5, 0.5, 0.5, 0.044716, 0.058036, 0.013189, 0.017089, 0.027013, 0.053472, 0.5, 0.5, 0.027574]",11,22,5.882993,5.866053,0.01694,30206.98,177195.75,511.7062,COINJOIN_MIXING
55265211763dcf82313207b1146483e1c6fe74fdbcca18e719b2e2de71c055b1,1610309043,2021-01-10 20:04:03,167.99.8.217,3.80.26.55,47261,8333,US,"AS14061 DigitalOcean, LLC",P2WPKH,"[""bc1q40mcwfmwjch4sqfkglj278ftvxajzgj37x3d6x"", ""bc1qu4erwz2qqfxaphlg68sl3g580udjllahcu8tx9""]","[""3z6B2QdS4MNvoaYZfTtita46BvPB8""]","[0.017222, 0.016695]",[0.03385889],2,1,0.033917,0.03385889,5.811e-05,30224.0,1023.35,1.7563,NORMAL
